id,x,y
ChildCareWorker18,0.47374058,0.68816984
ChildCareWorker19,0.43428954,0.6385717
ChildCareWorker20,0.40317017,0.70762473
ChildCareWorker21,0.33996186,0.67211205
ChildCareWorker22,0.4679605,0.66984165
ChildCareWorker23,0.43426815,0.6075907
ChildCareWorker24,0.47190553,0.6304905
ChildCareWorker25,0.42020673,0.7243109
ChildCareWorker26,0.40755594,0.62842137
ChildCareWorker27,0.40006092,0.6482637
ChildCareWorker28,0.43577242,0.623313
ChildCareWorker29,0.41823533,0.6162947
ChildCareWorker30,0.47754425,0.9653083
ChildCareWorker31,0.41731182,0.6420404
ChildCareWorker32,0.4591844,0.6181555
ChildCareWorker33,0.40190378,0.65594524
ChildCareWorker34,0.4665092,0.6766022
ChildCareWorker35,0.45119146,0.6342358
ChildCareWorker36,0.3910009,0.6637009
ChildCareWorker37,0.46199307,0.60808855
ChildCareWorker38,0.32456475,0.65889454
ChildCareWorker39,0.43150318,0.9274046
ChildCareWorker40,0.41678533,0.6089724
ChildCareWorker41,0.36271498,0.6071733
ChildCareWorker42,0.4480288,0.71833086
ChildCareWorker43,0.40765432,0.6441144
ChildCareWorker44,0.43283924,0.6613281
ChildCareWorker45,0.37602177,0.6895827
ChildCareWorker46,0.40713343,0.67053294
ChildCareWorker47,0.3795879,0.6454899
ChildCareWorker48,0.42688698,0.6460314
ChildCareWorker49,0.43728894,0.63198113
ChildCareWorker50,0.41982844,0.6705321
ChildCareWorker51,0.39262652,0.6616924
ChildCareWorker52,0.35945955,0.6651611
ChildCareWorker53,0.3811838,0.6517695
ChildCareWorker54,0.41654807,0.67764837
ChildCareWorker55,0.43665403,0.67803544
ChildCareWorker56,0.4226719,0.7024776
ChildCareWorker57,0.5130131,0.6165604
ChildCareWorker58,0.3716106,0.68231
ChildCareWorker59,0.37912908,0.700311
ChildCareWorker60,0.39400277,0.6345707
ChildCareWorker61,0.44562107,0.6320273
ChildCareWorker62,0.4156928,0.6810734
ChildCareWorker63,0.3773882,0.7037228
ChildCareWorker64,0.42766365,0.64258236
ChildCareWorker65,0.41275948,0.65927297
ChildCareWorker66,0.4121702,0.6633682
ChildCareWorker67,0.39884508,0.83938575
ChildCareWorker68,0.39695463,0.6487422
ChildCareWorker69,0.42256024,0.93229836
ChildCareWorker70,0.46982706,0.63767546
ChildCareWorker71,0.3692795,0.62773603
ChildCareWorker72,0.42453277,0.6742055
ChildCareWorker73,0.38460952,0.6942077
ChildCareWorker74,0.42540678,0.65771824
ChildCareWorker75,0.41794828,0.65061456
ChildCareWorker76,0.4275768,0.6671616
ChildCareWorker77,0.36391374,0.67393976
ChildCareWorker78,0.44930482,0.6599397
ChildCareWorker79,0.46205992,0.6461379
ChildCareWorker80,0.414815,0.7160694
ChildCareWorker81,0.47501713,0.63802207
ChildCareWorker82,0.4290495,0.6786349
ChildCareWorker83,0.4146656,0.69439906
ChildCareWorker84,0.53184044,0.7005121
ChildCareWorker85,0.41656843,0.65492713
ChildCareWorker86,0.39956358,0.6801836
ChildCareWorker87,0.4579474,0.62440753
ChildCareWorker88,0.44190028,0.6034986
ChildCareWorker89,0.4079612,0.69610184
ChildCareWorker90,0.39563897,0.65516335
ChildCareWorker91,0.41092646,0.72112805
ChildCareWorker92,0.47052726,0.6604408
ChildCareWorker93,0.41577387,0.6726492
ChildCareWorker94,0.41074073,0.68902403
ChildCareWorker95,0.42912382,0.62488276
ChildCareWorker96,0.4246096,0.6714407
ChildCareWorker97,0.4162264,0.6121628
ChildCareWorker98,0.41453114,0.7167124
ChildCareWorker99,0.4758997,0.63706356
ChildCareWorker100,0.43036848,0.6769652
ComputerProgrammer1,0.7745787,0.6169833
ComputerProgrammer2,0.7932351,0.4028334
ComputerProgrammer3,0.7336001,0.6782267
